AREA_PERIL_ID,LONGITUDE,LATITUDE
434330,1.82,48.62
434331,1.86,48.62
434332,1.9,48.62
434333,1.94,48.62
434334,1.98,48.62
434335,2.02,48.62
434336,2.06,48.62
434337,2.1,48.62
434338,2.14,48.62
434339,2.18,48.62
434340,2.22,48.62
434341,2.26,48.62
434342,2.3,48.62
434343,2.34,48.62
434344,2.38,48.62
434345,2.42,48.62
434346,2.46,48.62
434347,2.5,48.62
434348,2.54,48.62
434349,2.58,48.62
434350,2.62,48.62
434351,2.66,48.62
434352,2.7,48.62
434353,2.74,48.62
434354,2.78,48.62
434355,2.82,48.62
434356,2.86,48.62
435705,1.82,48.66
435706,1.86,48.66
435707,1.9,48.66
435708,1.94,48.66
435709,1.98,48.66
435710,2.02,48.66
435711,2.06,48.66
435712,2.1,48.66
435713,2.14,48.66
435714,2.18,48.66
435715,2.22,48.66
435716,2.26,48.66
435717,2.3,48.66
435718,2.34,48.66
435719,2.38,48.66
435720,2.42,48.66
435721,2.46,48.66
435722,2.5,48.66
435723,2.54,48.66
435724,2.58,48.66
435725,2.62,48.66
435726,2.66,48.66
435727,2.7,48.66
435728,2.74,48.66
435729,2.78,48.66
435730,2.82,48.66
435731,2.86,48.66
437081,1.82,48.7
437082,1.86,48.7
437083,1.9,48.7
437084,1.94,48.7
437085,1.98,48.7
437086,2.02,48.7
437087,2.06,48.7
437088,2.1,48.7
437089,2.14,48.7
437090,2.18,48.7
437091,2.22,48.7
437092,2.26,48.7
437093,2.3,48.7
437094,2.34,48.7
437095,2.38,48.7
437096,2.42,48.7
437097,2.46,48.7
437098,2.5,48.7
437099,2.54,48.7
437100,2.58,48.7
437101,2.62,48.7
437102,2.66,48.7
437103,2.7,48.7
437104,2.74,48.7
437105,2.78,48.7
437106,2.82,48.7
437107,2.86,48.7
438457,1.82,48.74
438458,1.86,48.74
438459,1.9,48.74
438460,1.94,48.74
438461,1.98,48.74
438462,2.02,48.74
438463,2.06,48.74
438464,2.1,48.74
438465,2.14,48.74
438466,2.18,48.74
438467,2.22,48.74
438468,2.26,48.74
438469,2.3,48.74
438470,2.34,48.74
438471,2.38,48.74
438472,2.42,48.74
438473,2.46,48.74
438474,2.5,48.74
438475,2.54,48.74
438476,2.58,48.74
438477,2.62,48.74
438478,2.66,48.74
438479,2.7,48.74
438480,2.74,48.74
438481,2.78,48.74
438482,2.82,48.74
438483,2.86,48.74
439834,1.82,48.78
439835,1.86,48.78
439836,1.9,48.78
439837,1.94,48.78
439838,1.98,48.78
439839,2.02,48.78
439840,2.06,48.78
439841,2.1,48.78
439842,2.14,48.78
439843,2.18,48.78
439844,2.22,48.78
439845,2.26,48.78
439846,2.3,48.78
439847,2.34,48.78
439848,2.38,48.78
439849,2.42,48.78
439850,2.46,48.78
439851,2.5,48.78
439852,2.54,48.78
439853,2.58,48.78
439854,2.62,48.78
439855,2.66,48.78
439856,2.7,48.78
439857,2.74,48.78
439858,2.78,48.78
439859,2.82,48.78
439860,2.86,48.78
441212,1.82,48.82
441213,1.86,48.82
441214,1.9,48.82
441215,1.94,48.82
441216,1.98,48.82
441217,2.02,48.82
441218,2.06,48.82
441219,2.1,48.82
441220,2.14,48.82
441221,2.18,48.82
441222,2.22,48.82
441223,2.26,48.82
441224,2.3,48.82
441225,2.34,48.82
441226,2.38,48.82
441227,2.42,48.82
441228,2.46,48.82
441229,2.5,48.82
441230,2.54,48.82
441231,2.58,48.82
441232,2.62,48.82
441233,2.66,48.82
441234,2.7,48.82
441235,2.74,48.82
441236,2.78,48.82
441237,2.82,48.82
441238,2.86,48.82
442590,1.82,48.86
442591,1.86,48.86
442592,1.9,48.86
442593,1.94,48.86
442594,1.98,48.86
442595,2.02,48.86
442596,2.06,48.86
442597,2.1,48.86
442598,2.14,48.86
442599,2.18,48.86
442600,2.22,48.86
442601,2.26,48.86
442602,2.3,48.86
442603,2.34,48.86
442604,2.38,48.86
442605,2.42,48.86
442606,2.46,48.86
442607,2.5,48.86
442608,2.54,48.86
442609,2.58,48.86
442610,2.62,48.86
442611,2.66,48.86
442612,2.7,48.86
442613,2.74,48.86
442614,2.78,48.86
442615,2.82,48.86
442616,2.86,48.86
443969,1.82,48.9
443970,1.86,48.9
443971,1.9,48.9
443972,1.94,48.9
443973,1.98,48.9
443974,2.02,48.9
443975,2.06,48.9
443976,2.1,48.9
443977,2.14,48.9
443978,2.18,48.9
443979,2.22,48.9
443980,2.26,48.9
443981,2.3,48.9
443982,2.34,48.9
443983,2.38,48.9
443984,2.42,48.9
443985,2.46,48.9
443986,2.5,48.9
443987,2.54,48.9
443988,2.58,48.9
443989,2.62,48.9
443990,2.66,48.9
443991,2.7,48.9
443992,2.74,48.9
443993,2.78,48.9
443994,2.82,48.9
443995,2.86,48.9
445348,1.82,48.94
445349,1.86,48.94
445350,1.9,48.94
445351,1.94,48.94
445352,1.98,48.94
445353,2.02,48.94
445354,2.06,48.94
445355,2.1,48.94
445356,2.14,48.94
445357,2.18,48.94
445358,2.22,48.94
445359,2.26,48.94
445360,2.3,48.94
445361,2.34,48.94
445362,2.38,48.94
445363,2.42,48.94
445364,2.46,48.94
445365,2.5,48.94
445366,2.54,48.94
445367,2.58,48.94
445368,2.62,48.94
445369,2.66,48.94
445370,2.7,48.94
445371,2.74,48.94
445372,2.78,48.94
445373,2.82,48.94
445374,2.86,48.94
446728,1.82,48.98
446729,1.86,48.98
446730,1.9,48.98
446731,1.94,48.98
446732,1.98,48.98
446733,2.02,48.98
446734,2.06,48.98
446735,2.1,48.98
446736,2.14,48.98
446737,2.18,48.98
446738,2.22,48.98
446739,2.26,48.98
446740,2.3,48.98
446741,2.34,48.98
446742,2.38,48.98
446743,2.42,48.98
446744,2.46,48.98
446745,2.5,48.98
446746,2.54,48.98
446747,2.58,48.98
446748,2.62,48.98
446749,2.66,48.98
446750,2.7,48.98
446751,2.74,48.98
446752,2.78,48.98
446753,2.82,48.98
446754,2.86,48.98
448108,1.82,49.02
448109,1.86,49.02
448110,1.9,49.02
448111,1.94,49.02
448112,1.98,49.02
448113,2.02,49.02
448114,2.06,49.02
448115,2.1,49.02
448116,2.14,49.02
448117,2.18,49.02
448118,2.22,49.02
448119,2.26,49.02
448120,2.3,49.02
448121,2.34,49.02
448122,2.38,49.02
448123,2.42,49.02
448124,2.46,49.02
448125,2.5,49.02
448126,2.54,49.02
448127,2.58,49.02
448128,2.62,49.02
448129,2.66,49.02
448130,2.7,49.02
448131,2.74,49.02
448132,2.78,49.02
448133,2.82,49.02
448134,2.86,49.02
449489,1.82,49.06
449490,1.86,49.06
449491,1.9,49.06
449492,1.94,49.06
449493,1.98,49.06
449494,2.02,49.06
449495,2.06,49.06
449496,2.1,49.06
449497,2.14,49.06
449498,2.18,49.06
449499,2.22,49.06
449500,2.26,49.06
449501,2.3,49.06
449502,2.34,49.06
449503,2.38,49.06
449504,2.42,49.06
449505,2.46,49.06
449506,2.5,49.06
449507,2.54,49.06
449508,2.58,49.06
449509,2.62,49.06
449510,2.66,49.06
449511,2.7,49.06
449512,2.74,49.06
449513,2.78,49.06
449514,2.82,49.06
449515,2.86,49.06
450871,1.82,49.1
450872,1.86,49.1
450873,1.9,49.1
450874,1.94,49.1
450875,1.98,49.1
450876,2.02,49.1
450877,2.06,49.1
450878,2.1,49.1
450879,2.14,49.1
450880,2.18,49.1
450881,2.22,49.1
450882,2.26,49.1
450883,2.3,49.1
450884,2.34,49.1
450885,2.38,49.1
450886,2.42,49.1
450887,2.46,49.1
450888,2.5,49.1
450889,2.54,49.1
450890,2.58,49.1
450891,2.62,49.1
450892,2.66,49.1
450893,2.7,49.1
450894,2.74,49.1
450895,2.78,49.1
450896,2.82,49.1
450897,2.86,49.1
452253,1.82,49.14
452254,1.86,49.14
452255,1.9,49.14
452256,1.94,49.14
452257,1.98,49.14
452258,2.02,49.14
452259,2.06,49.14
452260,2.1,49.14
452261,2.14,49.14
452262,2.18,49.14
452263,2.22,49.14
452264,2.26,49.14
452265,2.3,49.14
452266,2.34,49.14
452267,2.38,49.14
452268,2.42,49.14
452269,2.46,49.14
452270,2.5,49.14
452271,2.54,49.14
452272,2.58,49.14
452273,2.62,49.14
452274,2.66,49.14
452275,2.7,49.14
452276,2.74,49.14
452277,2.78,49.14
452278,2.82,49.14
452279,2.86,49.14
453636,1.82,49.18
453637,1.86,49.18
453638,1.9,49.18
453639,1.94,49.18
453640,1.98,49.18
453641,2.02,49.18
453642,2.06,49.18
453643,2.1,49.18
453644,2.14,49.18
453645,2.18,49.18
453646,2.22,49.18
453647,2.26,49.18
453648,2.3,49.18
453649,2.34,49.18
453650,2.38,49.18
453651,2.42,49.18
453652,2.46,49.18
453653,2.5,49.18
453654,2.54,49.18
453655,2.58,49.18
453656,2.62,49.18
453657,2.66,49.18
453658,2.7,49.18
453659,2.74,49.18
453660,2.78,49.18
453661,2.82,49.18
453662,2.86,49.18
